secuencial,descripcion,secMenuPadre,icono,controlador,paginaAccion,esActivo,fechaRegistro
1,DashBoard,1,"fas fa-fw fa-tachometer-alt",DashBoard,Index,1,NULL
2,Administración,2,"fas fa-fw fa-cog",NULL,NULL,1,"2024-06-14 12:33:13"
3,Inventario,3,"fas fa-fw fa-clipboard-list",NULL,NULL,1,"2024-06-14 12:33:13"
4,Ventas,4,"fas fa-fw fa-tags",NULL,NULL,1,"2024-06-14 12:33:13"
5,Reportes,5,"fas fa-fw fa-chart-area",NULL,NULL,1,"2024-06-14 12:33:13"
6,Usuarios,2,NULL,Usuario,Index,1,"2024-06-14 12:35:28"
7,Empresa,2,NULL,Empresa,Index,1,"2024-06-14 12:35:28"
8,"Tipo Producto",3,NULL,TipoProducto,Index,0,"2024-06-23 23:35:47"
9,Producto,3,NULL,Producto,Index,0,"2024-06-24 11:50:50"
10,Visita,4,NULL,Visita,Index,1,"2024-06-26 20:05:10"
11,Catalogos,3,NULL,Catalogo,Index,1,"2024-07-18 18:51:56"
12,Constructora,2,NULL,Constructora,Index,1,"2024-08-15 09:22:25"
13,Contactos,2,NULL,Contacto,Index,1,"2024-09-03 12:51:57"
15,Rol,2,NULL,Rol,Index,1,"2025-05-21 00:00:00"
16,Menu,2,NULL,Menu,Index,1,"2025-06-30 10:17:33"
17,Parametros,17,"fas fa-fw fa-cogs",NULL,NULL,1,"2025-06-30 11:06:17"
18,RolMenu,2,NULL,RolMenu,Index,1,"2025-07-01 01:03:17"
