"secuencial";"secProvincia";"codigo";"nombre";"estaActivo"
1;1;"01";"CUENCA";1
2;1;"02";"GIRON";1
3;1;"03";"GUALACEO";1
4;1;"04";"NABON";1
5;1;"05";"PAUTE";1
6;1;"06";"PUCARA";1
7;1;"07";"SAN FERNANDO";1
8;1;"08";"SANTA ISABEL";1
9;1;"09";"SIGSIG";1
10;1;"10";"ONIA";1
11;1;"11";"CHORDELEG";1
12;1;"12";"EL PAN";1
13;1;"13";"SEVILLA DE ORO";1
14;1;"14";"GUACHAPALA";1
15;1;"15";"CAMILO PONCE ENRIQUEZ";1
16;2;"01";"GUARANDA";1
17;2;"02";"CHILLANES";1
18;2;"03";"CHIMBO";1
19;2;"04";"ECHEANDIA";1
20;2;"05";"SAN MIGUEL";1
21;2;"06";"CALUMA";1
22;2;"07";"LAS NAVES";1
23;3;"01";"AZOGUES";1
24;3;"02";"BIBLIAN";1
25;3;"03";"CANIAR";1
26;3;"04";"LA TRONCAL";1
27;3;"05";"EL TAMBO";1
28;3;"06";"DELEG";1
29;3;"07";"SUSCAL";1
30;4;"01";"TULCAN";1
31;4;"02";"BOLIVAR";1
32;4;"03";"ESPEJO";1
33;4;"04";"MIRA";1
34;4;"05";"MONTUFAR";1
35;4;"06";"SAN PEDRO DE HUACA";1
36;5;"01";"LATACUNGA";1
37;5;"02";"LA MANA";1
38;5;"03";"PANGUA";1
39;5;"04";"PUJILI";1
40;5;"05";"SALCEDO";1
41;5;"06";"SAQUISILI";1
42;5;"07";"SIGCHOS";1
43;6;"01";"RIOBAMBA";1
44;6;"02";"ALAUSI";1
45;6;"03";"COLTA";1
46;6;"04";"CHAMBO";1
47;6;"05";"CHUNCHI";1
48;6;"06";"GUAMOTE";1
49;6;"07";"GUANO";1
50;6;"08";"PALLATANGA";1
51;6;"09";"PENIPE";1
52;6;"10";"CUMANDA";1
53;7;"01";"MACHALA";1
54;7;"02";"ARENILLAS";1
55;7;"03";"ATAHUALPA";1
56;7;"04";"BALSAS";1
57;7;"05";"CHILLA";1
58;7;"06";"EL GUABO";1
