"secuencial";"descripcion";"secMenuPadre";"icono";"controlador";"paginaAccion";"esActivo";"fechaRegistro"
1;"DashBoard";1;"fas fa-fw fa-tachometer-alt";"DashBoard";"Index";1;"2024-06-14 12:33:03"
2;"Administración";2;"fas fa-fw fa-cog";"";"";1;"2024-06-14 12:33:13"
3;"Inventario";3;"fas fa-fw fa-clipboard-list";"";"";1;"2024-06-14 12:33:13"
4;"Ventas";4;"fas fa-fw fa-tags";"";"";1;"2024-06-14 12:33:13"
5;"Reportes";5;"fas fa-fw fa-chart-area";"";"";1;"2024-06-14 12:33:13"
6;"Usuarios";2;"";"Usuario";"Index";1;"2024-06-14 12:35:28"
7;"Empresa";2;"";"Empresa";"Index";1;"2024-06-14 12:35:28"
8;"Tipo Producto";3;"";"TipoProducto";"Index";1;"2024-06-23 23:35:47"
9;"Producto";3;"";"Producto";"Index";1;"2024-06-24 11:50:50"
10;"Visita";4;"";"Visita";"Index";1;"2024-06-26 20:05:10"
