"secuencial";"secCanton";"codigo";"nombre";"estaActivo"
2046;1;"50";"CUENCA";1
3070;1;"50";"CUENCA";1
3071;1;"50";"CUENCA";1
3072;1;"51";"BAÑOS";1
3073;1;"52";"CUMBE";1
3074;1;"53";"CHAUCHA";1
3075;1;"54";"CHECA (JIDCAY) ";1
3076;1;"55";"CHIQUINTAD";1
3077;1;"56";"LLACAO";1
3078;1;"57";"MOLLETURO";1
3079;1;"58";"NULTI";1
3080;1;"59";"OCTAVIO CORDERO PALACIOS (SANTA ROSA) ";1
3081;1;"60";"PACCHA";1
3082;1;"61";"QUINGEO";1
3083;1;"62";"RICAURTE";1
3084;1;"63";"SAN JOAQUIN";1
3085;1;"64";"SANTA ANA";1
3086;1;"65";"SAYAUSI";1
3087;1;"66";"SIDCAY";1
3088;1;"67";"SININCAY";1
3089;1;"68";"TARQUI";1
3090;1;"69";"TURI";1
3091;1;"70";"VALLE";1
3092;1;"71";"VICTORIA DEL PORTETE (IRQUIS)";1
4095;2;"50";"GIRON";1
4096;2;"51";"ASUNCION";1
4097;2;"52";"SAN GERARDO";1
4098;3;"50";"GUALACEO";1
4099;3;"52";"DANIEL CORDOVA TORAL (EL ORIENTE) ";1
4100;3;"53";"JADAN";1
4101;3;"54";"MARIANO MORENO";1
4102;3;"56";"REMIGIO CRESPO TORAL (GULAG)";1
4103;3;"57";"SAN JUAN";1
4104;3;"58";"ZHIDMAD";1
4105;3;"59";"LUIS CORDERO VEGA";1
4106;3;"60";"SIMON BOLIVAR (CAB. EN GAÑANZOL)";1
4107;4;"50";" NABON";1
4108;4;"51";"COCHAPATA";1
4109;4;"52";"EL PROGRESO (CAB.EN ZHOTA) ";1
4110;4;"53";"LAS NIEVES (CHAYA)";1
4111;5;"50";"PAUTE";1
4112;5;"52";"BULAN (JOSE VICTOR IZQUIERDO) ";1
4113;5;"53";"CHICAN (GUILLERMO ORTEGA) ";1
4114;5;"54";"EL CABO  ";1
4115;5;"56";"GUARAINAG";1
4116;5;"59";"SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO) ";1
4117;5;"61";"TOMEBAMBA";1
4118;5;"62";"DUG DUG";1
4119;6;"50";" PUCARA";1
4120;6;"52";"SAN RAFAEL DE SHARUG";1
4121;7;"50";" SAN FERNANDO";1
4122;7;"51";"CHUMBLIN";1
4123;8;"50";" SANTA ISABEL";1
4124;8;"51";"ABDON CALDERON  (LA UNION) ";1
4125;8;"52";"EL CARMEN DE PIJILI";1
4126;8;"53";"ZHAGLLI (SHAGLLI)";1
4127;9;"50";" SIGSIG";1
4128;9;"51";"CUCHIL (CUTCHIL) ";1
4129;9;"52";"JIMA (GIMA)";1
4130;9;"53";"GUEL";1
4131;9;"54";"LUDO";1
4132;9;"55";"SAN BARTOLOME";1
4133;9;"56";"SAN JOSE DE RARANGA";1
4134;10;"50";"SAN FELIPE DE OÑA";1
4135;10;"51";"SUSUDEL";1
4136;11;"50";"CHORDELEG";1
4137;11;"51";"PRINCIPAL";1
4138;11;"52";"LA UNION";1
4139;11;"53";"LUIS GALARZA ORELLANA (CAB.EN DELEGSOL) ";1
4140;11;"54";"SAN MARTIN DE PUZHIO";1
4141;12;"50";" EL PAN";1
4142;12;"53";"SAN VICENTE";1
4143;13;"50";" SEVILLA DE ORO";1
4144;13;"51";"AMALUZA";1
4145;13;"52";"PALMAS";1
4146;14;"50";" GUACHAPALA";1
4147;15;"50";"CAMILO PONCE ENRIQUEZ";1
4148;16;"50";" GUARANDA";1
4149;16;"51";"FACUNDO VELA";1
4150;16;"53";"JULIO E. MORENO (CATANAHUAN GRANDE)";1
4151;16;"55";"SALINAS";1
4152;16;"56";"SAN LORENZO";1
4153;16;"57";"SAN SIMON (YACOTO)";1
4154;16;"58";"SANTAFE (SANTA FE)";1
4155;16;"59";"SIMIATUG";1
4156;16;"60";"SAN LUIS DE PAMBIL";1
4157;17;"50";" CHILLANES";1
4158;17;"51";"SAN JOSE DEL TAMBO (TAMBOPAMBA)";1
4159;18;"50";"SAN JOSE DE CHIMBO";1
4160;18;"51";"ASUNCION (ASANCOTO) ";1
4161;18;"53";"MAGDALENA (CHAPACOTO)";1
4162;18;"54";"SAN SEBASTIAN";1
4163;18;"55";"TELIMBELA";1
4164;19;"50";" ECHEANDIA";1
4165;20;"50";"SAN MIGUEL";1
4166;20;"51";"BALSAPAMBA";1
4167;20;"52";"BILOVAN";1
4168;20;"53";"REGULO DE MORA";1
4169;20;"54";"SAN PABLO  (SAN PABLO DE ATENAS)";1
4170;20;"55";"SANTIAGO";1
4171;20;"56";"SAN VICENTE";1
4172;21;"50";" CALUMA ";1
4173;22;"50";" LAS NAVES";1
4174;23;"50";"AZOGUES";1
4175;23;"51";"COJITAMBO";1
4176;23;"53";"GUAPAN";1
4177;23;"54";"JAVIER LOYOLA (CHUQUIPATA) ";1
4178;23;"55";"LUIS CORDERO";1
4179;23;"56";"PINDILIG";1
4180;23;"57";"RIVERA";1
4181;23;"58";"SAN MIGUEL";1
4182;23;"60";"TADAY";1
4183;24;"50";" BIBLIAN";1
4184;24;"51";"NAZON (CAB. EN PAMPA DE DOMINGUEZ)";1
4185;24;"52";"SAN FRANCISCO DE SAGEO";1
4186;24;"53";"TURUPAMBA";1
4187;24;"54";"JERUSALEN";1
4188;25;"50";"CAÑAR";1
4189;25;"51";"CHONTAMARCA";1
4190;25;"52";"CHOROCOPTE";1
4191;25;"53";"GENERAL MORALES (SOCARTE) ";1
4192;25;"54";"GUALLETURO";1
4193;25;"55";"HONORATO VASQUEZ (TAMBO VIEJO) ";1
4194;25;"56";"INGAPIRCA";1
4195;25;"57";"JUNCAL";1
4196;25;"58";"SAN ANTONIO";1
4197;25;"61";"ZHUD";1
4198;25;"62";"VENTURA";1
4199;25;"63";"DUCUR";1
4200;26;"50";" LA TRONCAL";1
4201;26;"51";"MANUEL J. CALLE";1
4202;26;"52";"PANCHO NEGRO";1
4203;27;"50";"EL TAMBO ";1
4204;28;"50";" DELEG";1
4205;28;"51";"SOLANO";1
4206;29;"50";"SUSCAL";1
4207;30;"50";" TULCAN";1
4208;30;"51";"EL CARMELO (EL PUN) ";1
4209;30;"53";"JULIO ANDRADE (OREJUELA) ";1
4210;30;"54";"MALDONADO";1
4211;30;"55";"PIOTER";1
4212;30;"56";"TOBAR DONOSO (LA BOCANA DE CAMUMBI) ";1
4213;30;"57";"TUFIÑO";1
4214;30;"58";"URBINA (TAYA)";1
4215;30;"59";"EL CHICAL";1
4216;30;"61";"SANTA MARTHA DE CUBA";1
4217;31;"50";" BOLIVAR";1
4218;31;"51";"GARCIA MORENO";1
4219;31;"52";"LOS ANDES";1
4220;31;"53";"MONTE OLIVO";1
4221;31;"54";"SAN VICENTE DE PUSIR";1
4222;31;"55";"SAN RAFAEL";1
4223;32;"50";"EL ANGEL";1
4224;32;"51";"EL GOALTAL";1
4225;32;"52";"LA LIBERTAD (ALIZO)";1
4226;32;"53";"SAN ISIDRO";1
4227;33;"50";"MIRA (CHONTAHUASI)";1
4228;33;"51";"CONCEPCION";1
4229;33;"52";"JIJON Y CAAMAÑO (CAB. EN RIO BLANCO)";1
4230;33;"53";"JUAN MONTALVO (SAN IGNACIO DE QUIL)";1
4231;34;"50";"SAN GABRIEL";1
4232;34;"51";"CRISTOBAL COLON";1
4233;34;"52";"CHITAN DE NAVARRETE";1
4234;34;"53";"FERNANDEZ SALVADOR";1
4235;34;"54";"LA PAZ";1
4236;34;"55";"PIARTAL";1
4237;35;"50";"HUACA";1
4238;35;"51";"MARISCAL SUCRE";1
4239;36;"50";"LATACUNGA";1
4240;36;"51";"ALAQUES (ALAQUEZ) ";1
4241;36;"52";"BELISARIO QUEVEDO (GUANAILIN)";1
4242;36;"53";"GUAITACAMA (GUAYTACAMA) ";1
4243;36;"54";"JOSEGUANGO BAJO";1
4244;36;"56";"MULALO";1
4245;36;"57";"11 DE NOVIEMBRE (ILINCHISI)";1
4246;36;"58";"POALO";1
4247;36;"59";"SAN JUAN DE PASTOCALLE";1
4248;36;"61";"TANICUCHI";1
4249;36;"62";"TOACASO";1
4250;37;"50";"LA MANA";1
4251;37;"51";"GUASAGANDA (CAB.EN GUASAGANDA CENTRO)";1
4252;37;"52";"PUCAYACU";1
4253;38;"50";"EL CORAZON";1
4254;38;"51";"MORASPUNGO";1
4255;38;"52";"PINLLOPATA";1
4256;38;"53";"RAMON CAMPAÑA";1
4257;39;"50";"PUJILI";1
4258;39;"51";"ANGAMARCA";1
4259;39;"53";"GUANGAJE";1
4260;39;"55";"LA VICTORIA";1
4261;39;"56";"PILALO";1
4262;39;"57";"TINGO";1
4263;39;"58";"ZUMBAHUA";1
4264;40;"50";"SAN MIGUEL";1
4265;40;"51";"ANTONIO JOSE HOLGUIN  (SANTA LUCIA)";1
4266;40;"52";"CUSUBAMBA";1
4267;40;"53";"MULALILLO";1
4268;40;"54";"MULLIQUINDIL (SANTA ANA)";1
4269;40;"55";"PANSALEO";1
4270;41;"50";"SAQUISILI, ";1
4271;41;"51";"CANCHAGUA";1
4272;41;"52";"CHANTILIN";1
4273;41;"53";"COCHAPAMBA";1
4274;42;"50";"SIGCHOS";1
4275;42;"51";"CHUGCHILLAN";1
4276;42;"52";"ISINLIVI";1
4277;42;"53";"LAS PAMPAS";1
4278;42;"54";"PALO QUEMADO";1
4279;43;"50";"RIOBAMBA";1
4280;43;"51";"CACHA (CAB. EN MACHANGARA) ";1
4281;43;"52";"CALPI";1
4282;43;"53";"CUBIJIES";1
4283;43;"54";"FLORES";1
4284;43;"55";"LICAN";1
4285;43;"56";"LICTO";1
4286;43;"57";"PUNGALA";1
4287;43;"58";"PUNIN";1
4288;43;"59";"QUIMIAG";1
4289;43;"60";"SAN JUAN";1
4290;43;"61";"SAN LUIS";1
4291;44;"50";"ALAUSI";1
4292;44;"51";"ACHUPALLAS";1
4293;44;"53";"GUASUNTOS";1
4294;44;"54";"HUIGRA";1
4295;44;"55";"MULTITUD";1
4296;44;"56";"PISTISHI (NARIZ DEL DIABLO)";1
4297;44;"57";"PUMALLACTA";1
4298;44;"58";"SEVILLA";1
4299;44;"59";"SIBAMBE";1
4300;44;"60";"TIXAN";1
4301;45;"50";"VILLA LA UNION (CAJABAMBA)";1
4302;45;"51";"CAÑI";1
4303;45;"52";"COLUMBE";1
4304;45;"53";"JUAN DE VELASCO (PANGOR)";1
4305;45;"54";"SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO)";1
4306;46;"50";"CHAMBO";1
4307;47;"50";"CHUNCHI";1
4308;47;"51";"CAPZOL";1
4309;47;"52";"COMPUD";1
4310;47;"53";"GONZOL";1
4311;47;"54";"LLAGOS";1
4312;48;"50";"GUAMOTE";1
4313;48;"51";"CEBADAS";1
4314;48;"52";"PALMIRA";1
4315;49;"50";"GUANO";1
4316;49;"51";"GUANANDO";1
4317;49;"52";"ILAPO";1
4318;49;"53";"LA PROVIDENCIA";1
4319;49;"54";"SAN ANDRES";1
