"secuencial";"codigo";"nombre";"estaActivo"
1;"01";"AZUAY";1
2;"02";"BOLIVAR";1
3;"03";"CANIAR";1
4;"04";"CARCHI";1
5;"05";"COTOPAXI";1
6;"06";"CHIMBORAZO";1
7;"07";"EL ORO";1
8;"08";"ESMERALDAS";1
9;"09";"GUAYAS";1
10;"10";"IMBABURA";1
11;"11";"LOJA";1
12;"12";"LOS RIOS";1
13;"13";"MANABI";1
14;"14";"MORONA SANTIAGO";1
15;"15";"NAPO";1
16;"16";"PASTAZA";1
17;"17";"PICHINCHA";1
18;"18";"TUNGURAHUA";1
19;"19";"ZAMORA CHINCHIPE";1
20;"20";"GALAPAGOS";1
21;"21";"SUCUMBIOS";1
22;"22";"ORELLANA";1
23;"23";"SANTO DOMINGO DE LOS TSACHILAS";1
24;"24";"SANTA ELENA";1
